title,make,model,year,condition,transmission,location,price,url
Toyota Corolla Fielder 2015 Black,Toyota,Corolla,2015,foreign used,automatic,"Kampala, Nakawa",39000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-2015-black-ft2JlK490tMaXOfnvfwW3nY.html?page=1&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=2
Toyota Vellfire 2016 Blue,Toyota,Vellfire,2016,foreign used,automatic,"Kampala, Nakawa",85000000,https://jiji.ug/nakawa/cars/toyota-vellfire-2016-blue-zz6QmyvOUzfk9GhPyBxLoRsA.html?page=1&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=5
Volkswagen Tiguan 2017 Blue,Volkswagen,Tiguan,2017,foreign used,automatic,"Kampala, Central Division",88000000,https://jiji.ug/central-division/cars/volkswagen-tiguan-2017-blue-geyStLrw8k4c4lnCaSDdaLLc.html?page=1&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=8
Toyota RAV4 2.0 4x4 2007 White,Toyota,RAV4,2007,local used,automatic,"Kampala, Central Division",18000000,https://jiji.ug/central-division/cars/toyota-rav4-2-0-4x4-2007-white-l30wL4vUVbQ13UV05xOqQ1wZ.html?page=1&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=11
Toyota RAV4 Automatic 2003 White,Toyota,RAV4,2003,local used,automatic,"Kampala, Central Division",18000000,https://jiji.ug/central-division/cars/toyota-rav4-automatic-2003-white-fLAgzudoXjVNht0m32e3pusm.html?page=1&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=14
Toyota Lite-Ace 2011 Silver,Toyota,Lite-Ace,2011,foreign used,automatic,"Kampala, Nakawa",35000000,https://jiji.ug/nakawa/cars/toyota-lite-ace-2011-silver-oWvhEZ2QD3te1xInOHldHOPp.html?page=1&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=17
Toyota Probox 2006 White,Toyota,Probox,2006,local used,automatic,"Kampala, Central Division",11500000,https://jiji.ug/central-division/cars/toyota-probox-2006-white-mThxCZvQRtMizB5LBhZALuSb.html?page=1&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=20
Subaru Forester 2013 White,Subaru,Forester,2013,foreign used,automatic,"Kampala, Central Division",48000000,https://jiji.ug/central-division/cars/subaru-forester-2013-white-wIHSUXSMSeB7wg9TFDaIyA5H.html?page=1&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=23
Daihatsu HIJET 2006 White,Daihatsu,HIJET,2006,local used,manual,"Kampala, Central Division",17000000,https://jiji.ug/central-division/cars/daihatsu-hijet-2006-white-pnXW9lZhHh2ILe1jevGyZN56.html?page=2&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=0
Toyota Noah 2001 White,Toyota,Noah,2001,local used,automatic,"Kampala, Rubaga",9000000,https://jiji.ug/rubaga/cars/toyota-noah-2001-white-cFQtXfeyCy6c8kc2yDLgNv52.html?page=2&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=3
