ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB205346,2012 HONDA STEP WGN,HONDA,STEP,2012/5,"161,000 km","2,000cc",CVT,Petrol,8,Location,,,,,/honda/step-wgn/cb205346/id/13262760/
CB205347,2020 SUZUKI JIMNY,SUZUKI,JIMNY,2020/8,"80,000 km",660cc,AT,Petrol,4,Location,,,,,/suzuki/jimny/cb205347/id/13262761/
CB205348,2019 TOYOTA HARRIER,TOYOTA,HARRIER,2019/2,"20,970 km","2,000cc",AT,Petrol,5,Location,,,,,/toyota/harrier/cb205348/id/13262762/
CB205349,2019 JEEP COMPASS,JEEP,COMPASS,2019/8,"25,256 km","2,400cc",AT,Petrol,5,Location,,,,,/jeep/compass/cb205349/id/13262763/
CB205350,2016 TOYOTA HARRIER HYBRID,TOYOTA,HARRIER,2016/11,"48,101 km","2,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/harrier-hybrid/cb205350/id/13262764/
CB205351,2021 NISSAN DAYZ,NISSAN,DAYZ,2021/2,"56,265 km",660cc,CVT,Petrol,4,Location,,,,,/nissan/dayz/cb205351/id/13262765/
CB205352,2019 HONDA SHUTTLE,HONDA,SHUTTLE,2019/3,"58,381 km","1,500cc",AT,Hybrid(Petrol),5,Location,,,,,/honda/shuttle/cb205352/id/13262766/
CB205353,2021 MERCEDES-BENZ G-CLASS,MERCEDES-BENZ,G-CLASS,2021/12,"26,990 km","4,000cc",AT,Petrol,5,Location,,,,,/mercedes-benz/g-class/cb205353/id/13262767/
CB205354,2015 BMW X3,BMW,X3,2015/9,"92,443 km","2,000cc",AT,Diesel,5,Location,,,,,/bmw/x3/cb205354/id/13262768/
CB205355,2017 TOYOTA C-HR,TOYOTA,C-HR,2017/2,"58,350 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/c-hr/cb205355/id/13262769/
CB205356,2013 MITSUBISHI OUTLANDER PHEV,MITSUBISHI,OUTLANDER,2013/2,"98,225 km","2,000cc",AT,Hybrid(Petrol),5,Location,,,,,/mitsubishi/outlander-phev/cb205356/id/13262770/
CB205358,2015 BMW 2 SERIES,BMW,2,2015/9,"76,105 km","2,000cc",AT,Diesel,5,Location,,,,,/bmw/2-series/cb205358/id/13262772/
CB205359,2023 NISSAN X-TRAIL,NISSAN,X-TRAIL,2023/3,"88,205 km","1,500cc",CVT,Hybrid(Petrol),5,Location,,,,,/nissan/x-trail/cb205359/id/13262773/
CB205360,2017 TOYOTA PRIUS PHV,TOYOTA,PRIUS,2017/2,"81,680 km","1,800cc",CVT,Hybrid(Petrol),4,Location,,,,,/toyota/prius-phv/cb205360/id/13262774/
CB205361,2019 TOYOTA HARRIER,TOYOTA,HARRIER,2019/9,"35,892 km","2,000cc",CVT,Petrol,5,Location,,,,,/toyota/harrier/cb205361/id/13262775/
