ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url,source
CB204996,2014 SUBARU LEVORG,Subaru,Levorg,2014,85859.0,2000.0,CVT,Petrol,5,Location,,,,,/subaru/levorg/cb204996/id/13262390/,BeForward
CB204997,2021 NISSAN SERENA,Nissan,Serena,2021,21092.0,1200.0,CVT,Hybrid(Petrol),7,Location,,,,,/nissan/serena/cb204997/id/13262391/,BeForward
CB204998,2006 SUZUKI EVERY,Suzuki,Every,2006,134100.0,660.0,AT,Petrol,4,Location,,,,,/suzuki/every/cb204998/id/13262392/,BeForward
CB205003,2011 DAIHATSU MIRA COCOA,Daihatsu,Mira,2011,121580.0,660.0,CVT,Petrol,4,Location,,,,,/daihatsu/mira-cocoa/cb205003/id/13262397/,BeForward
CB205004,2011 NISSAN ROOX,Nissan,Roox,2011,152655.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/roox/cb205004/id/13262398/,BeForward
CB205005,2008 DAIHATSU MOVE,Daihatsu,Move,2008,123185.0,660.0,AT,Petrol,4,Location,,,,,/daihatsu/move/cb205005/id/13262399/,BeForward
CB205007,2009 SUZUKI PALETTE,Suzuki,Palette,2009,100636.0,660.0,AT,Petrol,4,Location,,,,,/suzuki/palette/cb205007/id/13262401/,BeForward
CB205008,2010 DAIHATSU MOVE,Daihatsu,Move,2010,92494.0,660.0,AT,Petrol,4,Location,,,,,/daihatsu/move/cb205008/id/13262402/,BeForward
CB205009,2022 SUZUKI JIMNY,Suzuki,Jimny,2022,11057.0,660.0,MT,Petrol,4,Location,,,,,/suzuki/jimny/cb205009/id/13262403/,BeForward
CB205010,2017 HONDA N BOX,Honda,N,2017,52941.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb205010/id/13262404/,BeForward
CB205011,2012 NISSAN ROOX,Nissan,Roox,2012,110798.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/roox/cb205011/id/13262405/,BeForward
CB205012,2015 SUZUKI SOLIO BANDIT,Suzuki,Solio,2015,99048.0,1200.0,CVT,Hybrid(Petrol),5,Location,,,,,/suzuki/solio-bandit/cb205012/id/13262406/,BeForward
CB205013,2019 MITSUBISHI DELICA D2,Mitsubishi,Delica,2019,85438.0,1200.0,CVT,Hybrid(Petrol),5,Location,,,,,/mitsubishi/delica-d2/cb205013/id/13262407/,BeForward
CB205014,2010 SUZUKI EVERY,Suzuki,Every,2010,57000.0,660.0,MT,Petrol,4,Location,,,,,/suzuki/every/cb205014/id/13262408/,BeForward
CB205015,1993 NISSAN SILVIA,Nissan,Silvia,1993,133486.0,2000.0,MT,Petrol,4,Location,,,,,/nissan/silvia/cb205015/id/13262409/,BeForward
CB205016,2011 NISSAN NOTE,Nissan,Note,2011,14780.0,1500.0,CVT,Petrol,5,Location,,,,,/nissan/note/cb205016/id/13262410/,BeForward
CB205017,2017 SUZUKI JIMNY,Suzuki,Jimny,2017,96600.0,660.0,AT,Petrol,4,Location,,,,,/suzuki/jimny/cb205017/id/13262411/,BeForward
CB205018,2021 HONDA ODYSSEY,Honda,Odyssey,2021,35486.0,2000.0,CVT,Hybrid(Petrol),7,Location,,,,,/honda/odyssey/cb205018/id/13262412/,BeForward
CB205019,2005 MAZDA ROADSTER,Mazda,Roadster,2005,89097.0,2000.0,AT,Petrol,2,Location,,,,,/mazda/roadster/cb205019/id/13262413/,BeForward
CB205020,2015 DAIHATSU WAKE,Daihatsu,Wake,2015,152000.0,660.0,CVT,Petrol,4,Location,,,,,/daihatsu/wake/cb205020/id/13262414/,BeForward
CB205021,2012 SUZUKI CARRY TRUCK,Suzuki,Carry,2012,60000.0,650.0,MT,Petrol,2,Location,,,,,/suzuki/carry-truck/cb205021/id/13262415/,BeForward
CB205022,2024 MERCEDES-BENZ V-CLASS,Mercedes-Benz,V-Class,2024,17900.0,2000.0,AT,Diesel,7,Location,,,,,/mercedes-benz/v-class/cb205022/id/13262416/,BeForward
CB205023,2009 DAIHATSU TANTO,Daihatsu,Tanto,2009,84709.0,660.0,AT,Petrol,4,Location,,,,,/daihatsu/tanto/cb205023/id/13262417/,BeForward
CA631804,"2021 SUZUKI SWIFT
                                 6MT",Suzuki,Swift,2021,64282.0,1400.0,MT,Petrol,5,Location,,,,,/suzuki/swift/ca631804/id/12718236/,BeForward
CA847382,"2014 SUZUKI SWIFT
                                 1.6",Suzuki,Swift,2014,100000.0,1600.0,AT,Petrol,5,Location,,,,,/suzuki/swift/ca847382/id/12936032/,BeForward
