ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB203013,"2025 NISSAN NOTE
                                 1.2AUTECHFOUR4WD",Nissan,Note,2025,10000,1200.0,AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb203013/id/13260401/
CB203014,"2025 NISSAN NOTE
                                 1.2GFOUR4WD",Nissan,Note,2025,11000,1200.0,AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb203014/id/13260402/
CB203015,"2018 HONDA FREED
                                 P",Honda,Freed,2018,33100,1500.0,AT,Petrol,6,Location,,,,,/honda/freed/cb203015/id/13260403/
CB203016,"2018 HONDA FREED
                                 91",Honda,Freed,2018,28277,1500.0,AT,Petrol,6,Location,,,,,/honda/freed/cb203016/id/13260404/
CB203017,"2020 HONDA FREED
                                 ___",Honda,Freed,2020,21651,1500.0,AT,Petrol,6,Location,,,,,/honda/freed/cb203017/id/13260405/
CB203020,"2016 HONDA HONDA OTHERS
                                 EXBETC",Honda,Honda,2016,49000,1500.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/honda-others/cb203020/id/13260408/
CB203027,"2021 HONDA FREED HYBRID
                                 91",Honda,Freed,2021,40385,1500.0,AT,Hybrid(Petrol),6,Location,,,,,/honda/freed-hybrid/cb203027/id/13260415/
CB203031,"1997 SUBARU IMPREZA
                                 WRX",Subaru,Impreza,1997,113686,2000.0,MT,Petrol,5,Location,,,,,/subaru/impreza/cb203031/id/13260419/
CB203054,2018 TOYOTA REGIUSACE VAN,Toyota,Regiusace,2018,138171,2750.0,AT,Diesel,3,Location,,,,,/toyota/regiusace-van/cb203054/id/13260443/
CB203055,"2019 TOYOTA HIACE VAN
                                 5D2.8DTGL",Toyota,Hiace,2019,62778,2750.0,AT,Diesel,2,Location,,,,,/toyota/hiace-van/cb203055/id/13260444/
CB203056,2019 TOYOTA HIACE VAN,Toyota,Hiace,2019,91364,2800.0,AT,Diesel,2,Location,,,,,/toyota/hiace-van/cb203056/id/13260445/
CB203057,2020 TOYOTA HIACE VAN,Toyota,Hiace,2020,107550,2800.0,AT,Diesel,6,Location,,,,,/toyota/hiace-van/cb203057/id/13260446/
CB203058,2020 TOYOTA HIACE VAN,Toyota,Hiace,2020,90000,2800.0,AT,Diesel,5,Location,,,,,/toyota/hiace-van/cb203058/id/13260447/
CB203059,"2022 TOYOTA HIACE VAN
                                 2.8GLII",Toyota,Hiace,2022,131543,2800.0,AT,Diesel,2,Location,,,,,/toyota/hiace-van/cb203059/id/13260448/
CB203060,2025 TOYOTA HIACE VAN,Toyota,Hiace,2025,50,2800.0,AT,Diesel,2,Location,,,,,/toyota/hiace-van/cb203060/id/13260449/
CB203061,2020 TOYOTA HIACE VAN,Toyota,Hiace,2020,157000,2800.0,AT,Diesel,6,Location,,,,,/toyota/hiace-van/cb203061/id/13260450/
CB203066,"2024 TOYOTA LAND CRUISER
                                 250VXJBL",Toyota,Land,2024,4400,2800.0,AT,Diesel,7,Location,,,,,/toyota/land-cruiser/cb203066/id/13260455/
CB203072,2024 TOYOTA LAND CRUISER,Toyota,Land,2024,27,2800.0,AT,Diesel,5,Location,,,,,/toyota/land-cruiser/cb203072/id/13260461/
CB203073,2008 HONDA FIT,Honda,Fit,2008,78985,1300.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203073/id/13260462/
CB203074,2008 HONDA FIT,Honda,Fit,2008,121497,1500.0,CVT,Petrol,5,Location,,,,,/honda/fit/cb203074/id/13260463/
CB203078,"2006 NISSAN CIMA
                                 450VIP",Nissan,Cima,2006,76259,4500.0,AT,Petrol,5,Location,,,,,/nissan/cima/cb203078/id/13260467/
CB203079,"2016 NISSAN SERENA
                                 2.0TV",Nissan,Serena,2016,49886,2000.0,AT,Hybrid(Petrol),8,Location,,,,,/nissan/serena/cb203079/id/13260468/
CB203080,2016 NISSAN SERENA,Nissan,Serena,2016,61000,2000.0,CVT,Petrol,8,Location,,,,,/nissan/serena/cb203080/id/13260469/
CB203084,2017 NISSAN SERENA,Nissan,Serena,2017,51878,2000.0,AT,Petrol,8,Location,,,,,/nissan/serena/cb203084/id/13260473/
CB203111,"2017 NISSAN SERENA
                                 __ETC___",Nissan,Serena,2017,108200,2000.0,AT,Petrol,8,Location,,,,,/nissan/serena/cb203111/id/13260500/
CB203115,"2021 NISSAN SERENA
                                 2.0V4WD",Nissan,Serena,2021,77000,2000.0,AT,Hybrid(Petrol),8,Location,,,,,/nissan/serena/cb203115/id/13260504/
CB203133,"2022 NISSAN SERENA
                                 2.0V4WD",Nissan,Serena,2022,82000,2000.0,AT,Hybrid(Petrol),8,Location,,,,,/nissan/serena/cb203133/id/13260522/
CB203134,2013 MAZDA ATENZA,Mazda,Atenza,2013,122500,2200.0,AT,Diesel,5,Location,,,,,/mazda/atenza/cb203134/id/13260523/
CB203137,"2017 MAZDA ATENZA WAGON
                                 XDL",Mazda,Atenza,2017,71163,2200.0,MT,Diesel,5,Location,,,,,/mazda/atenza-wagon/cb203137/id/13260526/
CB203140,2022 MAZDA MAZDA6,Mazda,Mazda6,2022,104842,2200.0,AT,Diesel,5,Location,,,,,/mazda/mazda6/cb203140/id/13260529/
CB203141,2015 MAZDA ATENZA,Mazda,Atenza,2015,48964,2500.0,AT,Petrol,5,Location,,,,,/mazda/atenza/cb203141/id/13260530/
CB203143,2019 MAZDA MAZDA6,Mazda,Mazda6,2019,35000,2500.0,AT,Petrol,5,Location,,,,,/mazda/mazda6/cb203143/id/13260532/
CB203148,2014 HONDA FIT,Honda,Fit,2014,172500,1300.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203148/id/13260537/
CB203149,2016 HONDA FIT,Honda,Fit,2016,66201,1300.0,CVT,Petrol,5,Location,,,,,/honda/fit/cb203149/id/13260538/
CB203155,"2017 HONDA FIT
                                 __",Honda,Fit,2017,47666,1300.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203155/id/13260544/
CB203161,2016 HONDA FIT,Honda,Fit,2016,16076,1300.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203161/id/13260550/
CB203163,2015 HONDA GRACE,Honda,Grace,2015,56900,1500.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/grace/cb203163/id/13260552/
CB203164,"2016 HONDA GRACE
                                 1.5EX",Honda,Grace,2016,71000,1500.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/grace/cb203164/id/13260553/
CB203173,2024 MITSUBISHI OUTLANDER PHEV,Mitsubishi,Outlander,2024,2100,2400.0,CVT,Hybrid(Petrol),7,Location,,,,,/mitsubishi/outlander-phev/cb203173/id/13260562/
CB203174,2011 HONDA FIT HYBRID,Honda,Fit,2011,149600,1300.0,CVT,Petrol,5,Location,,,,,/honda/fit-hybrid/cb203174/id/13260563/
CB203176,"2014 HONDA FIT
                                 __ETC__LED",Honda,Fit,2014,121347,1500.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203176/id/13260565/
CB203177,"2014 HONDA FIT HYBRID
                                 F",Honda,Fit,2014,16715,1500.0,AT,Petrol,5,Location,,,,,/honda/fit-hybrid/cb203177/id/13260566/
CB203178,"2013 SUBARU XV
                                 FETC",Subaru,Xv,2013,39381,2000.0,AT,Petrol,5,Location,,,,,/subaru/xv/cb203178/id/13260567/
CB203186,2020 HONDA SHUTTLE,Honda,Shuttle,2020,45000,1500.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/shuttle/cb203186/id/13260575/
CB203190,"2021 HONDA FIT
                                 ___",Honda,Fit,2021,25006,1500.0,AT,Petrol,5,Location,,,,,/honda/fit/cb203190/id/13260579/
CB203191,"2012 SUBARU IMPREZA WRX
                                 6MT",Subaru,Impreza,2012,127800,2000.0,MT,Petrol,5,Location,,,,,/subaru/impreza-wrx/cb203191/id/13260580/
CB203210,2012 LEXUS GS,Lexus,Gs,2012,94662,2500.0,AT,Petrol,5,Location,,,,,/lexus/gs/cb203210/id/13260599/
CB203211,"2008 TOYOTA CROWN
                                 4WD",Toyota,Crown,2008,126200,2500.0,AT,Petrol,5,Location,,,,,/toyota/crown/cb203211/id/13260600/
CB203212,2005 TOYOTA MARK X,Toyota,Mark,2005,70278,2490.0,AT,Petrol,5,Location,,,,,/toyota/mark-x/cb203212/id/13260601/
CB203213,"2017 TOYOTA MARK X
                                 250GFCSSDB",Toyota,Mark,2017,88833,2500.0,AT,Petrol,5,Location,,,,,/toyota/mark-x/cb203213/id/13260602/
CB203214,2021 SUBARU IMPREZA SPORTS,Subaru,Impreza,2021,43500,2000.0,AT,Petrol,5,Location,,,,,/subaru/impreza-sports/cb203214/id/13260603/
CB203215,2017 SUBARU IMPREZA SPORTS,Subaru,Impreza,2017,39373,2000.0,CVT,Petrol,5,Location,,,,,/subaru/impreza-sports/cb203215/id/13260604/
CB203216,2020 TOYOTA YARIS,Toyota,Yaris,2020,80453,1500.0,AT,Hybrid(Petrol),5,Location,,,,,/toyota/yaris/cb203216/id/13260605/
CB203221,2019 TOYOTA COROLLA TOURING,Toyota,Corolla,2019,114569,1800.0,AT,Petrol,5,Location,,,,,/toyota/corolla-touring/cb203221/id/13260610/
CB203224,2018 SUBARU IMPREZA SPORTS,Subaru,Impreza,2018,8000,2000.0,AT,Petrol,5,Location,,,,,/subaru/impreza-sports/cb203224/id/13260613/
CB203227,2013 NISSAN MURANO,Nissan,Murano,2013,99118,2500.0,AT,Petrol,5,Location,,,,,/nissan/murano/cb203227/id/13260616/
